ingredient,first_sentences
logwood,It isn’t known if logwood is safe or what the possible side effects might be.
loosestrife,There isn't enough information to know if loosestrife is safe or what the possible side effects might be.
lorenzos-oil,Lorenzo’s oil seems to be safe when used under the care of health professionals.
lotus,There is not enough known about lotus to know if it is safe.
lousewort,It isn't known if lousewort is safe or what the possible side effects might be.
lovage,Lovage is  POSSIBLY SAFE  for most people.
l-tryptophan,L-tryptophan is  POSSIBLY UNSAFE  when taken by mouth as a medicine.
luffa,Luffa is  LIKELY SAFE  for most people when applied directly to the skin as a sponge.
lungmoss,It isn’t known if lungmoss is safe or what the possible side effects might be.
lungwort,It is not known if lungwort is safe or what the potential side effects might be.
lutein,Lutein is  LIKELY SAFE  when taken by mouth appropriately.
lychee,It isn't known if lychee is safe.
lycopene,Lycopene is  LIKELY SAFE  when taken by mouth in appropriate amounts.
lysine,"Lysine is  POSSIBLY SAFE  for most people when taken by mouth at recommended doses for up to one year, or when applied to the skin short-term."
maca,Maca is  LIKELY SAFE  for most people when taken in amounts found in foods.
macadamia-nut,"Macadamia nuts are safe as food, and they seem to be safe as medicine for most people."
mace,"Mace is  POSSIBLY SAFE 
when taken by mouth and used appropriately."
madagascar-periwinkle,Madagascar periwinkle is  UNSAFE  when taken by mouth due to the presence of poisonous chemicals known as vinca alkaloids.
madder,Madder is considered  LIKELY UNSAFE  when taken by  mouth.
magnesium,"Magnesium is  LIKELY SAFE  for most people when taken by mouth appropriately or when the prescription-only, injectable product is used correctly."
magnolia,"Magnolia is  POSSIBLY SAFE  for most people when taken by mouth or applied as a toothpaste, short-term."
maidenhair-fern,Maidenhair fern might be safe for most people when taken in the small amounts found in foods.
maitake-mushroom,"Maitake mushroom is  POSSIBLY SAFE  for most people when taken by mouth as medicine, but there isn't much information about the potential side effects."
malabar-nut,It is not known if Malabar nut is safe or what the possible side effects might be.
male-fern,Male fern is  UNSAFE.
malic-acid,Malic acid is  LIKELY SAFE  when taken by mouth in food amounts.
mallow,There isn't enough reliable information available about mallow to know if it is safe to use.
manaca,There isn't enough information to know if manaca is safe for people to use.
manchurian-thorn,It isn't known if Manchurian thorn is safe.
manganese,Manganese is  LIKELY SAFE  for most adults when taken by mouth in amounts up to 11 mg per day.
mangosteen,There is not enough reliable information to know if mangosteen products are safe for use as medicines.
manna,"Manna appears safe for most people, when used short-term."
maqui,There is not enough information to know if maqui is safe.
maral-root,It isn’t known if maral root is safe.
marijuana,"Marijuana extract is  POSSIBLY SAFE  when used as a specific spray (Sativex, GW Pharmaceuticals) that is applied under the tongue."
maritime-pine,"A standardized extract of maritime pine bark (Pycnogenol, Horphag Research) is  POSSIBLY SAFE  when taken by mouth in doses of 50 mg to 450 mg daily for up to one year, and when applied to the skin as a cream for up to 7 days or as a powder for up to 6 weeks."
marjoram,Marjoram is  LIKELY SAFE  in food amounts and  POSSIBLY SAFE  for most adults when taken by mouth in medicinal amounts for short periods of time.
marsh-blazing-star,There isn't enough information to know if marsh blazing star is safe.
marsh-marigold,Fresh marsh marigold is  UNSAFE.
marsh-tea,Marsh tea is  UNSAFE  when taken in large amounts to try to cause abortion.
marshmallow,Marshmallow is  LIKELY SAFE  for most people when taken by mouth.
martagon,There isn't enough information to know if martagon is safe or what the possible side effects might be.
masterwort,Masterwort is  POSSIBLY UNSAFE  when taken by  mouth  or applied to the  skin.
mastic,Mastic is  POSSIBLY SAFE  for most people when taken appropriately by mouth.
meadowsweet,"Meadowsweet, when taken appropriately, might be safe for most people."
mediterranean-diet,.
medium-chain-triglycerides-mcts,MCTs are safe for most people when taken by mouth or given intravenously (by IV).
melanotan-ii,Melanotan-II is  POSSIBLY SAFE  when used under medical supervision for  treating ED  ( erectile dysfunction ).
melatonin,"Melatonin is  LIKELY SAFE  for most adults when taken by mouth or injected into the body short-term, or when applied directly  to the skin."
mentzelia,There isn't enough information to know if mentzelia is safe or what the possible side effects might be.
mercury-herb,Mercury herb is  UNSAFE  when the fresh plant is taken by  mouth.
mesoglycan,Mesoglycan is  POSSIBLY SAFE  for most adults when taken by mouth.
methionine,Methionine is  LIKELY SAFE  when taken by mouth in amounts commonly found in foods.
methoxylated-flavones,Methoxylated flavones are a normal part of the diet. They are safe when consumed as part of food.
methylpentane,Taking methylpentane by  mouth  is  POSSIBLY UNSAFE.
mexican-scammony-root,There isn’t enough reliable information to know whether Mexican scammony root is safe.
mezereon,Mezereon is  UNSAFE  when taken by  mouth.
mgn-3,There isn’t enough reliable information to know whether MGN-3 is safe.
milk-thistle,Milk thistle extract is  LIKELY SAFE  when taken by mouth for most adults.
miracle-fruit,There isn't enough information available to know if miracle fruit is safe.
molybdenum,Molybdenum is  LIKELY SAFE  when taken by  mouth  appropriately by adults.
moneywort,There isn't enough information to know if moneywort might be safe.
monolaurin,Monolaurin is safe for most people when used in amounts commonly found in foods.
moringa,Moringa is POSSIBLY SAFE when taken by mouth and used appropriately.
mormon-tea,Mormon tea seems to be safe when consumed as a beverage in normal food amounts.
motherwort,Motherwort is  POSSIBLY SAFE  for most people when taken by mouth appropriately.
mountain-ash,Fresh mountain ash berries are  UNSAFE.
mountain-flax,"Mountain flax might be  UNSAFE  for some people, especially with long-term use."
mountain-laurel,Mountain laurel is  UNSAFE  for people to take by  mouth.
mouse-ear,There isn't enough information to know if mouse ear is safe.
msm-methylsulfonylmethane,"MSM is  POSSIBLY SAFE  for most people when taken by mouth for up to 3 months or when applied to the skin in combination with other ingredients, such as silymarin or hyaluronic acid and tea tree oil, for up to 20 days."
mugwort,There isn't enough information to know if mugwort is safe.
muira-puama,It is not known if muira puama is safe or what the possible side effects might be.
mullein,"Mullein is  POSSIBLY SAFE  when applied directly to the ear, short-term."
musk,There isn't enough information to know if musk is safe to use as a medicine.
myrcia,There isn't enough reliable information available about Myrcia to know if it is safe.
myrrh,Myrrh seems safe for most people when used in small amounts.
myrtle,The oil of myrtle is  UNSAFE.
n-acetyl-cysteine,"N-acetyl cysteine is  LIKELY SAFE  for most adults, when used as a prescription medication."
n-acetyl-glucosamine,"N-acetyl glucosamine is  POSSIBLY SAFE  when taken by mouth in doses of 3-6 grams daily, when applied to the skin, or when used rectally in doses of 3-4 grams daily."
nadh,"NADH seems safe for most people when used appropriately and short-term, up to 12 weeks."
nasturtium,Nasturtium might be safe for adults when applied directly to the skin in combination with other natural medicines.
nattokinase,Nattokinase is  LIKELY SAFE  when taken by mouth in amounts commonly found in foods.
neem,"Neem bark extract is  POSSIBLY SAFE  for most adults when taken by mouth, short-term."
nerve-root,Nerve root is  POSSIBLY UNSAFE  for most people when taken by  mouth.
new-jersey-tea,New Jersey tea might be safe for most people.
new-zealand-green-lipped-mussel,New Zealand green-lipped mussel is  POSSIBLY SAFE for most people when taken by mouth.
niacin-and-niacinamide-vitamin-b3,Niacin is  LIKELY SAFE  for most people when taken by mouth.
niacinamide,Niacinamide is  LIKELY SAFE  for most adults when taken by mouth.
niauli-oil,Niauli oil might be safe for most adults when taken by  mouth.
nickel,Nickel is  LIKELY SAFE  for most adults when taken by  mouth  in amounts up to 1 mg/day.
nikko-maple,It is not known if nikko maple is safe or what the possible side effects might be.
noni,Noni is  POSSIBLY SAFE  when the fruit is consumed as food.
northern-prickly-ash,"Northern prickly ash bark might be safe for most people, but the potential side effects are not known."
nutmeg-and-mace,Nutmeg and mace are  POSSIBLY SAFE  when taken by  mouth  and used appropriately.
nux-vomica,Nux vomica is  UNSAFE.
oak-moss,Oak moss might be safe for most people when taken for short periods of time as a water-based tea.
oats,"Oat bran is  LIKELY SAFE  for most people, including pregnant and breast-feeding women."
octacosanol,There is not enough information to know if octacosanol is safe.
octodrine,Octodrine is  POSSIBLY UNSAFE  when taken by mouth.
oleander,Injecting a specific oleander product (Anvirzel) into the muscle is  POSSIBLY SAFE  when administered by a healthcare professional for up to 3 weeks.
olive,Olive oil is  LIKELY SAFE  when taken appropriately by mouth or applied to the skin.
omega-6-fatty-acids,Omega-6 fatty acids are  LIKELY SAFE  when consumed by adults and children over the age of 12 months as part of the diet in amounts between 5% and 10% of  daily calories.
onion,Onion is  LIKELY SAFE  when taken by mouth in amounts commonly found in food or when onion extract is applied to the skin.
oolong-tea,Drinking moderate amounts of oolong tea is  LIKELY SAFE  for most adults.
opium-antidote,There isn't enough information available to know if opium antidote is safe.
orchic-extract,There isn't enough reliable information to know if orchic extract is safe.
oregano,Oregano leaf is  LIKELY SAFE  when taken in the amounts found in food and  POSSIBLY SAFE  when taken by mouth or applied to the skin in medicinal amounts.
oregon-fir-balsam,There isn't enough information to know if Oregon fir balsam is safe or what the possible side effects might be.
oregon-grape,Oregon grape cream is  POSSIBLY SAFE  for most people when applied directly to the skin.
oriental-arborvitae,Oriental arborvitae might be safe when taken short-term in small amounts.
ornithine,There isn't enough reliable information about the safety of ornithine.
ornithine-ketoglutarate,Ornithine ketoglutarate is  POSSIBLY SAFE  in children and adults when given intravenously or in adults when taken by mouth with appropriate medical supervision.
orris,Orris seems to be safe for most people when taken by mouth.
oscillococcinum,Oscillococcinum seems to be safe for most people.
osha,Osha might be safe for most adults.
ostrich-fern,"Ostrich fern seems to be safe for most people when used as a food, as long as it is boiled for at least 10 minutes before eating."
oswego-tea,There isn’t enough reliable scientific information to know whether Oswego tea is safe and what the possible side effects might be.
ox-eye-daisy,There isn't enough information to know if ox-eye daisy is safe.
pagoda-tree,The seeds of the pagoda tree are  POSSIBLY UNSAFE  for most people when taken by  mouth.
palm-oil,Palm oil is  LIKELY SAFE  when taken by mouth in food amounts.
panax-ginseng,"Panax ginseng is  POSSIBLY SAFE  when applied to the skin as part of a multi-ingredient product (SS Cream), in the short-term."
panax-notoginseng,Panax notoginseng is  POSSIBLY SAFE  when taken by mouth or given with a needle with the help of a physician.
pancreatin,Pancreatin is  LIKELY SAFE  when taken by mouth by people with pancreas problems who cannot digest food properly.
pangamic-acid,Pangamic acid is considered  UNSAFE.
pantethine,Taking pantethine by  mouth  is  POSSIBLY SAFE  for most people for up to a year.
pantothenic-acid-vitamin-b5,Pantothenic acid is  LIKELY SAFE  for most people when taken by mouth in appropriate amounts.
pao-pereira,It isn't known if pao pereira is safe or what the possible side effects might be.
papain,Papain is  LIKELY SAFE  when taken by mouth in amounts commonly found in foods.
papaya,Papaya is  LIKELY SAFE  for most people when taken by mouth in amounts commonly found in foods.
para-aminobenzoic-acid-paba,PABA is  LIKELY SAFE  for most people when applied directly to the skin.
pareira,There isn’t enough information to know if pareira might be safe or what side effects may occur.
parsley,Parsley is  LIKELY SAFE  when consumed in amounts commonly found in food.
parsley-piert,There isn't enough information to know if parsley piert is safe or what side effects may occur.
parsnip,There isn't enough information to know if parsnip is safe when taken by  mouth.
passionflower,Passionflower is  LIKELY SAFE  for most people when used in food-flavoring amounts.
pata-de-vaca,It isn't known if pata de vaca is safe or what the possible side effects might be.
patchouly-oil,Patchouly oil seems to be safe in food amounts.
pau-darco,Pau d'arco is  POSSIBLY UNSAFE  when taken by mouth.
peanut-oil,"Peanut oil is safe for most people when taken by mouth, applied to the skin, or used rectally in medicinal amounts."
pear,Pears are safe for most people when eaten in normal food amounts.
pectin,"In most people, including adults, children, and women who are pregnant or breast-feeding, pectin is  LIKELY SAFE  when taken in food amounts and  POSSIBLY SAFE  when used in larger medicinal amounts."
pellitory,There isn't enough information to know if pellitory is safe.
pellitory-of-the-wall,"Pellitory-of-the-wall might be safe for most people to take by  mouth , but the possible side effects of pellitory-of-the-wall are not known."
pennyroyal,Pennyroyal oil is  LIKELY UNSAFE  when taken by mouth or applied to the skin.
peony,"Peony is  POSSIBLY SAFE  when used by mouth, short-term."
peppermint,"Peppermint and peppermint oil are  LIKELY SAFE  when taken by mouth in amounts commonly found in food, when taken in medicinal amounts, or when applied to the skin."
perilla,Perilla is  POSSIBLY SAFE  for most people when taken by mouth for up to 8 months.
perillyl-alcohol,Perillyl alcohol is  POSSIBLY SAFE  when taken by mouth with medical supervision.
periwinkle,Periwinkle is  UNSAFE.
peru-balsam,It is  UNSAFE  to take Peru balsam by  mouth  because it can damage the  kidneys.
peyote,Peyote is  UNSAFE  for use.
phaseolus-vulgaris,"There is some evidence that Phaseolus vulgaris bean extracts are  POSSIBLY SAFE  for most adults when taken by mouth, short-term."
pheasants-eye,"Pheasant's eye is  UNSAFE , unless a commercially prepared extract is used under direct medical supervision."
phellodendron,Phellodendron is  POSSIBLY SAFE  in adults when used short-term.
phenethylamine,Phenethylamine is  POSSIBLY UNSAFE  for most people when taken by  mouth  appropriately.
phenibut,Phenibut is  POSSIBLY UNSAFE  for most people when taken by mouth.
phenylalanine,L-phenylalanine is  LIKELY SAFE  for most people when taken by mouth in amounts commonly found in foods.
phleum-pratense,Phleum pratense seems safe for most adults and children aged 3-16 years.
phlorizin,It isn’t known if phlorizin is safe.
phosphate-salts,"Phosphate salts containing sodium, potassium, aluminum, or calcium are  LIKELY SAFE  for most people when taken by mouth, inserted into the rectum, or given intravenously (by IV) appropriately and short-term."
phosphatidylcholine,"Phosphatidylcholine is  POSSIBLY SAFE  when taken by mouth, when injected just beneath the skin, or when applied on the skin short-term."
phosphatidylserine,Phosphatidylserine is  POSSIBLY SAFE  most adults and children when taken by mouth appropriately.
picrorhiza,"Picrorhiza is  POSSIBLY SAFE  for most people, when taken by mouth for up to one year."
pilates,.
pimpinella,There isn't enough information available to know if pimpinella is safe or what the possible side effects might be.
pine,Pine is  POSSIBLY SAFE  when used appropriately by  mouth  for short periods of time.
pinellia-ternata,Pinellia ternata might not be safe.
pink-root,The FRESH root of pink root is  UNSAFE  for use.
pipsissewa,Pipsissewa seems safe for most people when used in food amounts.
pitcher-plant,A certain pitcher plant extract called Sarapin seems to be safe when injected by a qualified health professional.
plant-sterols,Plant sterols are  LIKELY SAFE  for most people when taken by mouth.
pleurisy-root,Pleurisy root is  POSSIBLY UNSAFE  because it contains a powerful chemical that is similar to the prescription drug  digoxin  (Lanoxin).
podophyllum,"When applied by medical professionals in low concentration to unbroken skin, podophyllum is  POSSIBLY SAFE  for most people."
poinsettia,Poinsettia might be  UNSAFE.
poison-ivy,Poison ivy is  LIKELY UNSAFE  when taken by mouth or touched.
poisonous-buttercup,Poisonous buttercup is  UNSAFE  for use when applied to skin.
pokeweed,Pokeweed is  UNSAFE  to use.
policosanol,Policosanol is  LIKELY SAFE  for most people when taken by mouth in doses of 5-80 mg daily for up to 3 years.
polydextrose,"Polydextrose is  LIKELY SAFE  when used as a  food additive , provided a serving contains less than 15 grams of polydextrose."
polypodium-leucotomos,"Polypodium leucotomos is  POSSIBLY SAFE  when taken by  mouth  or applied to the skin, short-term."
pomegranate,Pomegranate juice is  LIKELY SAFE  for most people when taken by mouth.
poplar,Poplar is  LIKELY SAFE  when applied to the skin.
poppy-seed,Poppy seed is  LIKELY SAFE  for most adults when taken by mouth in amounts commonly found in food.
poria-mushroom,Poria mushroom is  POSSIBLY SAFE  for most people when taken by mouth or applied to the skin.
potassium,"Potassium is  LIKELY SAFE  for most people when taken by mouth in amounts of up to 100 mEq of total potassium, or when given intravenously (by IV) by medical professionals."
potato,"Unblemished, ripe potatoes eaten as food or taken as medicine seem safe for most people."
potentilla,Potentilla seems safe for most people.
pregnenolone,Pregnenolone is  POSSIBLY SAFE  for most people when taken by mouth for up to 12 weeks.
premorse,There isn't enough information to know if premorse is safe or what possible the side effects might be.
prickly-pear-cactus,Prickly pear cactus is  LIKELY SAFE  when eaten as food.
procaine,It is not known whether procaine is safe when taken by mouth.
progesterone,"The progesterone prescription products that have been approved by the Food and Drug Administration (FDA) are  LIKELY SAFE  for most people when used by mouth, applied to the skin, applied into vagina, or injected into the muscle with the advice and care of a healthcare professional."
propionyl-l-carnitine,Propionyl-L-carnitine is  LIKELY SAFE  for most people when taken by mouth or given with a needle in the vein by a healthcare professional.
propolis,Propolis is  POSSIBLY SAFE  when taken by mouth or applied to the skin appropriately.
pu-erh-tea,Taking pu-erh tea in moderate amounts might be safe.
puff-ball,Puff ball mushrooms seem to be safe when eaten in food amounts.
pulsatilla,Fresh pulsatilla plant is  UNSAFE  when taken by mouth or applied to the skin.
pumpkin,Pumpkin is  LIKELY SAFE  in food amounts and  POSSIBLY SAFE  in medicinal amounts for most people.
purple-loosestrife,It is not known if purple loosestrife is safe or what the side effects might be.
purple-nut-sedge,It isn’t known if purple nut sedge is safe or what the possible side effects might be.
pygeum,Pygeum is  LIKELY SAFE  for most people when taken by  mouth  appropriately.
pyrethrum,The commercially available combination of pyrethrins (0. 17-0. 33%) and piperonyl butoxide (2-4%) seems to be safe when applied to the skin in a nonaerosol product.
pyridoxine-vitamin-b6,Vitamin B6 is  LIKELY SAFE  for most people when used appropriately.
pyruvate,Pyruvate is  POSSIBLY SAFE  when taken by mouth or inhaled using a nebulizer for up to six weeks.
quassia,Quassia is  LIKELY SAFE  when taken by  mouth  in food amounts.
quebracho,Quebracho is safe in food amounts.
queens-delight,Queen’s delight might be  UNSAFE  when used by  mouth  or applied to the skin.
quercetin,Quercetin is  POSSIBLY SAFE  for most people when taken by mouth short-term.
quillaia,Quillaia seems to be safe when taken in food amounts.
quince,There isn’t enough information to know if quince is safe for medicinal use.
quinoa,It isn’t known if quinoa is safe or what the possible side effects might be.
rabdosia-rubescens,There isn't enough information to know if Rabdosia rubescens is safe or what side effects may occur.
radish,Radish is  SAFE  for most people in moderate amounts.
raspberry-ketone,Raspberry ketone is  POSSIBLY SAFE  when taken by  mouth  appropriately as part of a product containing other ingredients in the short-term.
rauvolfia-vomitoria,Rauvolfia vomitoria is  POSSIBLY UNSAFE  when taken by mouth.
red-bush-tea,Red bush tea seems safe for most people when used as a beverage.
red-clover,Red clover is  LIKELY SAFE  for most people when used in the amounts found in food.
red-maple,It is not known if red maple is safe or what the potential side effects might be.
red-raspberry,Red raspberry is  LIKELY SAFE  for most people when eaten in food amounts and  POSSIBLY SAFE  when taken in larger amounts as medicine.
red-sandalwood,Red sandalwood might be safe for most people.
red-soapwort,Red soapwort seems safe for most people when used on the skin.
red-yeast,Red yeast is  POSSIBLY SAFE  for most people when taken by mouth for up to 4.
red-spur-valerian,There isn't enough information to know if red-spur valerian is safe or what the possible side effects might be.
reed-herb,It is not known if reed herb is safe or what the possible side effects might be.
rehmannia,There is not enough information available to know if rehmannia is safe to take for medical conditions.
reishi-mushroom,Reishi mushroom extract is  POSSIBLY SAFE  when taken by mouth appropriately for up to one year.
resveratrol,"Resveratrol is  LIKELY SAFE  when used in the amounts found in foods, and when taken by mouth in doses up to 250 mg daily for up to 3 months."
rhatany,Rhatany is  POSSIBLY SAFE  for most people when taken by  mouth  for less than two weeks.
rhodiola,"Rhodiola is  POSSIBLY SAFE  when taken by mouth, short-term."
rhubarb,Rhubarb stem is  LIKELY SAFE  when it is consumed as food.
riboflavin,Riboflavin is  LIKELY SAFE  for most people when taken by mouth.
ribose,Ribose seems to be  LIKELY SAFE  for most people when taken by mouth for short-term use or when given intravenously (by IV) by a healthcare provider.
rice-bran,Rice bran is safe for most people when taken by mouth.
rna-and-dna,RNA appears to be safe for most people when taken along with omega-3 fatty acids and L-arginine or injected under the skin.
rock-rose,There isn’t enough information to know if rock rose is safe or what the possible side effects might be.
roman-chamomile,Roman chamomile is  LIKELY SAFE  for most people when used in amounts normally found in foods.
rose-geranium-oil,Rose geranium oil is  LIKELY SAFE  when taken by mouth in food amounts.
rose-hip,Rose hip is  LIKELY SAFE  for adults when taken by mouth appropriately.
rosemary,Rosemary is  LIKELY SAFE  when consumed in amounts found in foods.
rosinweed,It is not known if rosinweed is safe or what the possible side effects might be.
royal-jelly,Royal jelly is  POSSIBLY SAFE  for most people when taken by mouth appropriately.
rue,Rue is considered safe when consumed in food amounts.
rupturewort,There isn't enough information available to know if rupturewort is safe or what the possible side effects might be.
rusty-leaved-rhododendron,Rusty-leaved rhododendron is  UNSAFE.
rutin,Rutin is  LIKELY SAFE  when taken by mouth in amounts found in fruits and vegetables.
rye-grass,Rye grass seems safe for most people.
saccharomyces-boulardii,Saccharomyces boulardii is  LIKELY SAFE  for most adults when taken by mouth for up to 15 months.
safed-musli,There is not enough information available to know if safed musli is safe.
safflower,Safflower seed oil is  LIKELY SAFE  for most people when taken by mouth.
saffron,Saffron is  LIKELY SAFE  in food amounts.
sage,Sage is  LIKELY SAFE  in amounts typically used in foods.
salacia,"Salacia is  POSSIBLY SAFE  when taken by  mouth , short-term."
salatrim,Salatrim is  LIKELY SAFE  when taken by  mouth  in food amounts.
salep,"Salep might be safe for most people, but the possible side effects aren't known."
salvia-divinorum,Salvia divinorum is  POSSIBLY UNSAFE.
same,"SAMe is  LIKELY SAFE  when taken by mouth, given intravenously (by IV), or when injected as a shot, appropriately."
samphire,"Samphire might be safe for most people, but the possible side effects are unknown."
sandy-everlasting,Sandy everlasting is safe in food amounts and appears to be safe for most people when taken by mouth in recommended medicinal amounts.
sanghuang,There isn't enough reliable information about sanghuang to know if it is safe.
sangre-de-grado,"It is  LIKELY SAFE  to take crofelemer (SP-303), a chemical isolated from sangre de grado, by mouth."
sanicle,Sanicle is  POSSIBLY SAFE  for most people when taken by  mouth.
sarsaparilla,Sarsaparilla seems safe for most people when used as a medicine.
sassafras,Sassafras seems safe in foods and beverages if it is “safrole-free.
savin-tops,Savin tops are  UNSAFE  and can cause death if taken by  mouth  as a powder or tea.
saw-palmetto,Saw palmetto is  LIKELY SAFE  for most people when taken by mouth for up to three years.
scarlet-pimpernel,Scarlet pimpernel appears to be  UNSAFE  for long-term use when taken by  mouth  or applied to the skin.
sceletium,There is not enough information available to know if sceletium is safe.
schisandra,Schisandra fruit is  POSSIBLY SAFE  when taken by mouth appropriately.
schizonepeta,Schizonepeta appears to be safe in low doses for most people.
scopolia,Scopolia is  LIKELY UNSAFE  when taken by  mouth  for self-medication.
scotch-broom,Scotch broom is  LIKELY UNSAFE  to take by mouth.
scotch-thistle,There isn't enough information to know if Scotch thistle is safe or what the possible side effects might be.
scurvy-grass,There isn't enough information available to know if scurvy grass is safe.
sea-buckthorn,Sea buckthorn fruit is  LIKELY SAFE  when consumed as food.
secretin,Secretin is available as a prescription product that is used intravenously. Intravenous products are safe when used appropriately.
selenium,"Selenium is  LIKELY SAFE  for most people when taken by mouth in doses less than 400 mcg daily, short-term."
self-heal,Self-heal seems to be safe for most people.
senega,Senega is considered safe when taken by  mouth  short-term.
senna,"Senna is  LIKELY SAFE  for most adults and children over age 2 when taken by mouth, short-term."
serrapeptase,"Serrapeptase seems to be safe for adults when taken by mouth, short-term (up to 4 weeks)."
sesame,Sesame is  LIKELY SAFE  when taken by mouth in amounts commonly found in food.
shark-cartilage,Shark cartilage is  POSSIBLY SAFE  for most people when taken appropriately by mouth for up to 40 months or when applied to the skin for up to 8 weeks.
shark-liver-oil,Shark liver oil is  POSSIBLY SAFE  in adults when used short-term.
shea-butter,Shea butter is  LIKELY SAFE  when taken by  mouth  in amounts commonly found in foods.
shellac,Shellac is safe for most people when taken by  mouth  in pharmaceutical products.
shepherds-purse,Shepherd's purse seems to be safe when taken by mouth or applied to the skin in small amounts.
shiitake-mushroom,"Shiitake mushroom is  LIKELY SAFE  when consumed by  mouth  in food amounts, but it seems  POSSIBLY UNSAFE  to take by  mouth."
siberian-cocklebur,Siberian cocklebur is  LIKELY UNSAFE  when the seeds and seedlings are taken by  mouth.
sida-cordifolia,Sida cordifolia is  LIKELY UNSAFE  for any use.
silicon,Silicon is  LIKELY SAFE  in food amounts.
simaruba,It is not known if simaruba is safe.
sitostanol,Sitostanol is safe for most people.
skirret,There isn't enough information to know if skirret is safe or what the possible side effects might be.
skullcap,There is not enough information available to know if skullcap is safe to take for medical conditions.
skunk-cabbage,Skunk cabbage is  POSSIBLY SAFE  for most people when taken by mouth.
slippery-elm,Slippery elm is  POSSIBLY SAFE  for most people when taken by mouth.
smartweed,It is not known if smartweed is safe.
smooth-alder,It is not known if smooth alder is safe or what the possible side effects might be.
snake-skin,There isn't enough reliable information available about snake skin to know if it is safe or what the side effects might be.
sneezewort,There isn't enough information to know if sneezewort is safe.
sodium,Sodium is  LIKELY SAFE  for most people when taken by mouth appropriately or when administered as a medicine.
sodium-bicarbonate,Sodium bicarbonate is  LIKELY SAFE  when taken by mouth appropriately in the short-term and when used intravenously (by IV) and appropriately with proper medical supervision.
solomons-seal,Solomon's seal is safe for most adults when taken for short time periods.
sorrel,"Sorrel is  POSSIBLY SAFE  for most people when consumed in food amounts or when taken by mouth in medicinal amounts as part of a combination product containing gentian root, European elder flower, verbena, and cowslip flower (Sinupret, SinuComp)."
sour-cherry,The fruit of the sour cherry is  LIKELY SAFE  for most adults when eaten as food or used as medicine.
southern-prickly-ash,The BARK of southern prickly ash may be safe when used as a medicine.
soy,Consuming foods containing soy protein or taking soy protein products is  LIKELY SAFE.
soybean-oil,Soybean oil is safe for most adults when taken by  mouth  in amounts normally found in food and when applied to the skin as an insect repellent in recommended amounts.
spanish-broom,"Spanish broom seems to be safe in amounts typically found in food, but the safety of using larger amounts is not known."
spanish-origanum-oil,Spanish origanum oil is safe for most adults when used in amounts found in foods.
spearmint,Spearmint and spearmint oil are  LIKELY SAFE  when eaten in amount commonly found in food.
spinach,Spinach is  LIKELY SAFE  for most people when used as a food.
spiny-restharrow,Spiny restharrow might be safe.
spleen-extract,It is not known if spleen extract is safe.
spotted-geranium,There isn’t enough reliable information to know if spotted geranium is safe or what the possible side effects might be.
squalamine,Squalamine is  POSSIBLY SAFE  in adults when used as eye drops for up to 38 weeks or when injected in the vein by a health care professional.
squawvine,Squawvine seems safe for most people when taken by  mouth  in appropriate amounts.
squill,Squill is  UNSAFE  when taken by mouth.
st-johns-wort,St. John's wort is  LIKELY SAFE  when taken by mouth for up to 12 weeks.
star-anise,Star anise is  LIKELY SAFE  when used as a flavoring in foods.
star-of-bethlehem,Star of Bethlehem is  UNSAFE  to use as a medicine.
stavesacre,Stavesacre is  UNSAFE  to take by  mouth.
stereospermum,There isn't enough reliable information about stereospermum to know if it is safe.
stevia,"Stevia and chemicals contained in stevia, including stevioside and rebaudioside A, are  LIKELY SAFE  when taken by mouth as a sweetener in foods."
stinging-nettle,Stinging nettle is  POSSIBLY SAFE  when taken by mouth for up to 2 years or when applied to the skin appropriately.
stone-root,Stone root seems to be safe.
storax,Storax is safe when used in food amounts and seems to be safe for most people when used appropriately in medicinal amounts.
strawberry,Strawberry is  LIKELY SAFE  when taken by mouth in amounts found in food.
strontium,Strontium is  LIKELY SAFE  when taken by mouth in amounts found in food.
strophanthus,Strophanthus is  UNSAFE  for use without the direct supervision of a  healthcare  provider.
succinate,There is not enough information to know if succinate is safe.
sulbutiamine,"Sulbutiamine is  POSSIBLY SAFE  when taken by mouth appropriately, short-term."
sulforaphane,Sulforaphane is safe when used in the amounts found in foods.
sulfur,"Sulfur is  POSSIBLY SAFE  when applied to the skin appropriately, short-term."
suma,Suma is considered safe for most people when it is taken by  mouth  for a short period of time.
sumbul,There isn't enough information to know if sumbul is safe or what the possible side effects might be.
summer-savory,Summer savory is  LIKELY SAFE  in food amounts.
sundew,Sundew is  POSSIBLY SAFE  for most people when taken by  mouth.
sunflower-oil,Sunflower oil is  LIKELY SAFE  when taken by mouth or applied to the skin in appropriate amounts.
superoxide-dismutase,Injectable (shot) forms of superoxide dismutase that have been used in research studies appear to be safe.
swallowroot,There isn't enough information to know if swallowroot is safe or what the possible side effects might be.
swamp-milkweed,Swamp milkweed is  UNSAFE  to use.
sweet-almond,There is not enough scientific information available to know if sweet almond is safe to use as medicine.
sweet-annie,Sweet Annie is  POSSIBLY SAFE  for most adults when taken by mouth.
sweet-cherry,"Sweet cherry fruit is  LIKELY SAFE  for most adults when consumed in food amounts or when used as a medicine, short-term."
sweet-cicely,There isn't enough information available to know if sweet cicely is safe or what the possible side effects might be.
sweet-clover,Sweet clover seems to be safe for most people when used appropriately.
