ingredient,side_effects
huperzine-a,"Huperzine A is  POSSIBLY SAFE  when taken by mouth for a short period of time (less than 3 months). It can cause some side effects including nausea, diarrhea, vomiting, sweating, blurred vision, slurred speech, restlessness, loss of appetite, contraction and  twitching  of muscle fibers, cramping, increased saliva and urine, inability to control urination,  high blood pressure , and slowed  heart rate .     "
hyacinth-bean,"Hyacinth beans are  POSSIBLY UNSAFE  when eaten raw and in large amounts. Raw hyacinth beans contain certain chemicals, called cyanogenic glycosides, which can be poisonous.  "
hyaluronic-acid,"Hyaluronic acid is  LIKELY SAFE  when taken by mouth, applied to the skin, or given by injection and appropriately. Rarely, hyaluronic acid may cause allergic reactions.     "
hydrangea,"Hydrangea is  POSSIBLY SAFE  for most people when taken by  mouth  for only a few days. Side effects include  nausea ,  vomiting ,  diarrhea ,  dizziness , and chest tightness.    It’s  LIKELY UNSAFE  to use more than 2 grams of dried hydrangea rhizome/root at a time. It is also  LIKELY UNSAFE  to use hydrangea for long period of time.     "
hydrazine-sulfate,"Hydrazine sulfate is  POSSIBLY UNSAFE . It has been linked to cases of liver damage, seizure, coma, and death.    Hydrazine sulfate can cause some side effects including nausea, vomiting, dizziness, drowsiness, nerve problems, violent behavior, restlessness, seizures, coma, confusion, mood stimulation, excitement, weakness, irregular breathing, abnormal  blood sugar levels , rash, and kidney damage.     "
hydroxycitric-acid,"Hydroxycitric acid is  POSSIBLY SAFE  for most people when taken by  mouth  for 12 weeks or less. Hydroxycitric acid can cause  nausea , digestive tract discomfort, and  headache  when used short-term. Long-term safety is unknown.  "
hydroxymethylbutyrate,"HMB is  POSSIBLY SAFE  for most people when taken by mouth, short-term. Doses of 3 grams per day or less for up to one year seem to be safe.

 "
hyperimmune-egg,"Hyperimmune egg seems to be safe for adults when used appropriately up to 26 weeks. Some people may experience diarrhea, gas, and  bloating .  "
hyssop,"Hyssop is considered safe for most people in the amounts commonly found in foods and in medicinal amounts. However, do not use the oil product because it has caused  seizures  in some people.  "
iboga,"There isn’t enough information to know if iboga is safe for use. Iboga can cause side effects such as  low blood pressure , slow  heart  rate,  seizures , paralysis, difficulty breathing,  anxiety , and  hallucinations .  "
iceland-moss,"Iceland moss seems safe for most people when taken short-term. It is  UNSAFE  when used in large amounts, because the dried plant can be contaminated with lead.    Iceland moss is regulated in the United States, and is allowed only as a flavoring agent in  alcoholic  beverages.  "
idebenone,"Idebenone is  POSSIBLY SAFE  for most people when taken by mouth and when used on the skin. Side effects are uncommon but can include nausea, vomiting, stomach pain, loose stools, a fast heartbeat, or increased risk of infection. Some people are allergic to idebenone when it is applied to the skin. 

 "
ignatius-bean,"Ignatius bean is  UNSAFE . It is poisonous. The danger is due to the strychnine and brucine it contains. The US Food and Drug Administration (FDA) banned strychnine from nonprescription drug products in 1989.    Side effects and toxicities include restlessness, feelings of  anxiety , heightened sense perception, enhanced reflexes,  dizziness , painful neck and back stiffness,  twitching , jaw and neck spasms, painful convulsions of the entire body, increased muscle tension, difficulty in breathing,  seizures ,  kidney failure , and death.    Long-term use of Ignatius bean, even in amounts so small that they don’t seem to cause side effects, can eventually cause  liver  damage and be fatal. Laboratory tests on urine and  stomach  contents can identify strychnine poisoning as the cause of death.  "
immortelle,There isn't enough information to know if immortelle is safe.  
indian-frankincense,"Indian frankincense is  LIKELY SAFE  for most adults when taken by mouth for up to six months.    Indian frankincense is  POSSIBLY SAFE  when applied to the skin for up to 30 days. It usually does not cause important side effects. However, some people who took it reported stomach pain, nausea, and diarrhea. When applied to the skin, it can cause allergic rash.  "
indian-gooseberry,"Indian gooseberry seems  LIKELY SAFE  for most people when consumed in amounts found in foods. Ayurvedic formulations containing Indian gooseberry have been linked to liver damage. But, it's not clear if taking Indian gooseberry alone might have these effects.   
 "
indian-long-pepper,There isn't enough information to know if Indian long pepper is safe for use as a medicine.  
indian-physic,It is not known if Indian physic is safe or what the possible side effects might be.  
indian-snakeroot,"Indian snakeroot is  POSSIBLY SAFE  when taken by mouth. Indian snakeroot contains chemicals that have been shown to affect the heart and blood vessels, causing low blood pressure and slow heart rate. Long-term use can cause depression. Other possible side effects of Indian snakeroot include nasal congestion, changes in appetite and weight, nightmares, drowsiness, and loose stools. Some people experience depression, muscle aches, headaches, chills, dizziness, nausea and vomiting. 

 "
indium,"Indium might be  UNSAFE . Taking indium by  mouth  might result in damage to the  kidneys ,  heart ,  liver , and other organs.    Breathing in indium might irritate the  lungs .    Applying indium to the  skin  might cause skin irritation.  "
indole-3-carbinol,"Indole-3-carbinol is  POSSIBLY SAFE  for most people when taken by mouth as a medicine under proper medical supervision. Doses up to 400 mg daily have been used safely for 3-76 months. It can cause side effects such as skin rashes and diarrhea.   

In higher doses, indole-3-carbinol can cause balance problems, tremor, and nausea.

 "
inosine,"Inosine is  POSSIBLY SAFE  for most people when taken by mouth. Taking inosine can cause high levels of a chemical called uric acid in the blood and urine. These high levels of uric acid might cause kidney or bladder stones in some people. 

 "
inositol,"Inositol is  POSSIBLY SAFE  for most adults when taken by mouth. It can cause nausea, stomach pain, tiredness, headache, and dizziness.   
 "
inositol-nicotinate,"Inositol nicotinate is  POSSIBLY SAFE  for most people when taken by mouth. It can cause some side effects such as stomach upset, headache, nausea, burping, and hiccups. It might also cause liver damage like other niacin products in some people.    Some inositol nicotinate products are promoted as ""no-flush"" niacin because some people think they don't cause as much flushing as regular niacin. But this possible benefit has not been proven in research studies.      "
iodine,"Iodine is  LIKELY SAFE  for most people when taken by mouth at recommended amounts or when applied to the skin appropriately using approved products.    Iodine can cause significant side effects in some people. Common side effects include nausea and stomach pain, runny nose, headache, metallic taste, and diarrhea.    In sensitive people, iodine can cause side effects including swelling of the lips and face (angioedema), severe bleeding and bruising, fever, joint pain, lymph node enlargement, allergic reactions including hives, and death.    Large amounts or long-term use of iodine are  POSSIBLY UNSAFE . Adults should avoid prolonged use of doses higher than 1100 mcg per day (the upper tolerable limit, UL) without proper medical supervision. In children, doses should not exceed 200 mcg per day for children 1 to 3 years old, 300 mcg per day for children 4 to 8 years old, 600 mcg per day for children 9 to 13 years old, and 900 mcg per day for adolescents. These are the upper tolerable limits (UL).    In both children and adults, there is concern that higher intake can increase the risk of side effects such as thyroid problems. Iodine in larger amounts can cause metallic taste, soreness of teeth and gums, burning in mouth and throat, increased saliva, throat inflammation, stomach upset, diarrhea, wasting, depression, skin problems, and many other side effects.    When iodine is used directly on the skin, it can cause skin irritation, stains, allergic reactions, and other side effects. Be careful not to bandage or tightly cover areas that have been treated with iodine to avoid iodine burn.      "
ip-6,IP-6 is safe when used in amounts found in foods. There isn't enough information to know if it is safe when used in medicinal amounts.  
ipecac,"Ipecac is  POSSIBLY SAFE  for most people when taken by mouth and used for a short time. It can cause nausea, vomiting,  stomach  irritation,  dizziness ,  low blood pressure , shortness of breath, and a fast heartbeat.    Ipecac is  POSSIBLY UNSAFE  when allowed to touch the skin or when inhaled. Ipecac contains emetine, with can irritate the skin and respiratory tract.    Ipecac is  LIKELY UNSAFE  when taken by mouth long-term or in large amounts, as well as when injected at a dose of more than 1 gram. Misuse of ipecac can lead to serious poisoning, heart damage, and death. Signs of poisoning include difficulty breathing, digestive tract problems, abnormal heart rates,  blood in the urine , convulsions, shock, coma, and death.     "
iporuru,It is not known if iporuru is safe or what the possible side effects might be.  
ipriflavone,"Ipriflavone is  LIKELY SAFE  for most people when used with proper medical supervision. It can cause side effects such as  stomach pain ,  diarrhea , or  dizziness .    There is some concern that ipriflavone can cause a decreased white cell count (lymphocytopenia) in people taking it for greater than six months. White cell counts should be monitored, especially in people taking ipriflavone long-term.  "
iron,"Iron is  LIKELY SAFE  for most people when it is taken by mouth or injected into the vein in appropriate amounts. However, it can cause side effects such as stomach upset and pain, constipation or diarrhea, nausea, and vomiting. Taking iron supplements with food seems to reduce some of these side effects. However, food can also reduce how well the body can absorb iron. Iron should be taken on an empty stomach if possible. If it causes too many side effects, it can be taken with food. Try to avoid taking iron with foods containing dairy products, coffee, tea, or cereals.    

There are many forms of iron products such as ferrous sulfate, ferrous gluconate, ferrous fumarate, and others. Some products, such as those containing polysaccharide-iron complex (Niferex-150, etc), claim to cause fewer side effects than others. But there is no reliable evidence to support this claim.   

Some enteric coated or controlled release iron products might reduce nausea for some people; however, the body may not be able to absorb these products as well.   

Liquid iron supplements may blacken teeth.   

High doses of iron are  LIKELY UNSAFE , especially for children. Iron is the most common cause of poisoning deaths in children. Doses as low as 60 mg/kg can be fatal. Iron poisoning can cause many serious problems including stomach and intestinal distress, liver failure, dangerously low blood pressure, and death. If you suspect an adult or child has taken more than the recommended amount of iron, call your healthcare professional or the nearest poison control center immediately.   

There is some concern that high intake of iron might increase the chance of developing heart disease. Some studies show that people with high intake of iron, especially from food sources such as red meat, are more likely to have heart disease. This may be especially true for people with type 2 diabetes. But this is controversial. Other studies do not show that iron increases the chance of heart disease. It is too soon to tell for sure if iron increases the chance of heart disease.

 "
irvingia-gabonensis,"Irvingia gabonensis is  POSSIBLY SAFE  for adults when a crude seed extract is taken for up to 4 weeks, or when a specific standardized seed extract called IGOB131 is used for up to 10 weeks. The only side effects reported are  flatulence ,  headaches , and  sleep  problems.     "
isatis,"Isatis is  POSSIBLY SAFE  when applied to the skin appropriately, short-term. A specific product containing the isatis constituent indigo naturalis as an oil extract (Lindioil), applied to the skin in doses of 0.05 to 0.1 mL twice daily, has been used safely for 24 weeks.    There isn’t enough reliable information available to know if taking isatis by mouth is safe or what the side effects might be.  "
ivy-gourd,Ivy gourd is  POSSIBLY SAFE  for most people when taken by  mouth  for up to 6 weeks. There isn’t enough information to know if ivy gourd is safe for longer-term use.     
jaborandi,"Jaborandi is  UNSAFE  for use as a medicinal herb. A deadly dose of jaborandi is estimated to be only 5-10 grams of leaf.    Jaborandi is, however, used in the production of pilocarpine, an FDA-approved prescription medication.  "
jackfruit,It isn't known if jackfruit is safe when taken as a medicine. Jackfruit extract might cause drowsiness.  
jacobs-ladder,It is not known if Jacob's ladder is safe or what the possible side effects might be.  
jalap,"Jalap is  UNSAFE . It has powerful effects on the bowel that might cause irritation of the digestive tract, including  diarrhea ,  vomiting  and a loss of important chemicals such as  potassium .  "
jamaican-dogwood,"Jamaican dogwood is  LIKELY UNSAFE  and poisonous when taken by  mouth  for self-medication. Jamaican dogwood is an irritant and can cause numbness, tremors, salivation, and  sweating .     "
jambolan,Jambolan is  POSSIBLY SAFE  for most people when taken by mouth in usual medicinal amounts.  
japanese-apricot,The processed fruit seems to be safe in food amounts. But the raw fruit might be  UNSAFE  to eat because it contains toxic chemicals. Only processed fruit products should be eaten.    There is not enough information to know if it is safe to use Japanese apricot in medicinal amounts or apply it to the skin.  
japanese-mint,"Japanese mint oil seems to be safe for most people when taken appropriately by mouth or applied to the skin. It can cause some side effects such as  stomach  upset when taken by mouth. It can cause allergic skin reactions when used directly on the skin. If applied directly on the face or inhaled, it can worsen  asthma , cause vocal cord spasms, and cause serious  breathing problems . It can also cause flushing, headache, and allergic reactions.    Not enough is known about the safety of inhaling Japanese mint oil.  "
japanese-persimmon,"There isn't enough information available to know if Japanese persimmon is safe for medicinal use. The fruit, eaten as food, can cause allergic reactions.  "
jasmine,Jasmine is  LIKELY SAFE  for most people in food amounts. It is not known if jasmine is safe when used as medicine. Jasmine may cause allergic reactions.     
java-tea,"Java tea is  POSSIBLY SAFE  when taken by mouth by adults for a short period of time.

 "
javanese-turmeric,"Javanese turmeric seems to be safe for most people when used for a short time, up to 18 weeks. But Javanese turmeric might be  UNSAFE  when used in large amounts or for long periods of time. It may cause stomach irritation and  nausea .  "
jequirity,"Jequirity is  LIKELY UNSAFE  when taken by mouth. Jequirity contains a chemical called abrin. Abrin is a poison and can cause death, even at low doses. Symptoms of toxicity include stomach cramping, followed by severe diarrhea and vomiting that can become bloody. Other symptoms include a fast heart rate, as well as liver or kidney toxicity. Symptoms can happen within hours or appear up to several days later. Death can occur after 3-4 days of persistent  stomach problems  and other symptoms.     When seeds come in contact with the skin, they can cause  inflammation , irritation, and severe eye problems.  "
jewelweed,Jewelweed is  POSSIBLY SAFE  for most people when taken by  mouth  or applied directly to the skin. No significant side effects have been reported.     
jiaogulan,"Jiaogulan is  POSSIBLY SAFE  when taken by mouth short-term (up to 4 months). In some people, it may  cause side effects such as severe nausea and increased bowel movements.   
 "
jimson-weed,"Jimson weed is  UNSAFE  when taken by mouth or inhaled. It is poisonous and can cause many toxic effects including  dry mouth  and extreme thirst,  vision  problems,  nausea and vomiting , fast  heart rate , hallucinations, high temperature,  seizures , confusion, loss of consciousness,  breathing problems , and death. The deadly dose for adults is 15-100 grams of leaf or 15-25 grams of the seeds.     "
jobs-tears,Job's tears seems to be safe when in food amounts. There isn't enough information to know if taking Job's tears in pills as a supplement is safe.  
jojoba,"Jojoba is  LIKELY SAFE  for most people when applied to the skin. It can cause some side effects such as  rash  and allergic reactions.    Jojoba is  LIKELY UNSAFE  for anyone when taken by  mouth . Jojoba contains a chemical called erucic acid, which can cause serious side effects such as  heart  damage.     "
juniper,"Juniper, juniper berry, and juniper extract are  LIKELY SAFE  when consumed in normal food amounts.    Juniper is  POSSIBLY SAFE  for most adults when taken by mouth in medicinal amounts short-term, when inhaled appropriately as a vapor, or when applied to the skin in small areas. Using juniper on the skin can cause some side effects including irritation, burning, redness, and swelling. Avoid using it on large skin wounds.    Taking juniper by mouth long-term or in a high dose is  LIKELY UNSAFE  as it can cause kidney problems, seizures, and other serious side effects.      "
kale,Kale is  LIKELY SAFE  when consumed in food amounts. It isn't known if kale is safe or what the possible side effects might be when taken in medicinal amounts.  
kamala,There isn't enough information to know if kamala is safe or what the possible side effects might be.  
kaolin,"Kaolin is  POSSIBLY SAFE  for most people when taken by mouth. It can cause some side effects including constipation, particularly in children and the elderly. Do not inhale kaolin. It can cause lung problems.

 "
karaya-gum,Karaya gum seems safe for most people when taken with plenty of fluids. It can block the  intestines  if you do not drink enough fluid.  
kava,"Kava is  POSSIBLY UNSAFE  when taken by mouth. Don't use it. Serious illness, including liver damage, has occurred even with short-term use of normal doses. The use of kava for as little as one to three months has resulted in the need for liver transplants, and even death. Early symptoms of liver damage include yellowed eyes and skin (jaundice), fatigue, and dark urine. If you decide to take kava, despite warnings to the contrary, be sure to get frequent liver function tests.    Using kava can make you unable to drive or operate machinery safely. Do not take kava before you plan on driving. ""Driving-under-the-influence"" citations have been issued to people driving erratically after drinking large amounts of kava tea.  "
kefir,"Kefir is  POSSIBLY SAFE  for most adults when taken by mouth for up to 8 weeks.   

Kefir can cause side effects like bloating, nausea, intestinal cramping, and constipation, especially when use is started. Usually these side effects resolve with continued use.   
 "
khat,"Khat is  POSSIBLY UNSAFE  for most people when taken by mouth. Although it isn't associated with physical addiction, it can cause psychological dependence.    Khat can cause many side effects including mood changes, increased alertness, excessive talkativeness, hyperactivity, excitement, aggressiveness, anxiety, elevated  blood pressure , manic behavior, paranoia, and psychoses.  Trouble sleeping  (insomnia), loss of energy (malaise), and lack of concentration usually follow.    Other effects include rapid  heart rate ,  heart palpitations , increased blood pressure, faster breathing rates, increased  body temperature , sweating, eye changes, mouth ulcers,  inflammation  of the esophagus and stomach,  gum disease , jaw problems (TMJ), and  constipation .    Regular use in young people is linked to  high blood pressure .    Severe side effects include migraine,  bleeding in the brain ,  heart attack , lung problems, liver damage, changes in  sex drive , and inability to get an erection (impotence).    Chewing khat leaves has led to infections that can cause problems such as pain below the ribs, changes in white  blood cells , and an  enlarged liver .     "
khella,"Khella is  POSSIBLY UNSAFE  when taken in high doses or used for a long time. It can cause side effects including liver problems, nausea, dizziness, constipation, lack of appetite, headache, itching, trouble sleeping, and skin sensitivity to sunlight (photosensitization).     "
kinetin,There is not enough information available to know if kinetin is safe.     
kiwi,"Kiwi is  LIKELY SAFE  for most people when used in food amounts. In people who are allergic to kiwi, it can cause allergic reactions such as trouble swallowing ( dysphagia ),  vomiting , and  hives .     "
knotweed,"Knotweed may be safe for most people, but the possible side effects of knotweed are not known.  "
kohlrabi, Kohlrabi is  LIKELY SAFE  when consumed in food amounts. It isn’t known if kohlrabi is safe or what the possible side effects might be when taken in medicinal amounts.  
kombucha,"Kombucha is  POSSIBLY SAFE  for most adults when taken by mouth. Kombucha can cause side effects when contaminated including stomach problems, yeast infections, allergic reactions, yellow skin (jaundice), nausea, vomiting, head and neck pain, and death.   

Kombucha, especially batches made at home where it’s hard to maintain a germ-free environment, can become contaminated with fungus (Aspergillus) and bacteria (including anthrax). In Iran, 20 people got anthrax infections from taking kombucha. Kombucha is  LIKELY UNSAFE  in people with weakened immune systems, such as people with HIV/AIDS, who are more likely to get infections, as well as when it is prepared in a lead-glazed ceramic pot. Lead poisoning has been reported following ingestion of kombucha.   
 "
korean-pine,There isn't enough information to know if Korean pine is safe. Korean pine nut might cause allergic reactions in people who are sensitive to plants in the Pinaceae family.  
kousso,"Kousso is  LIKELY UNSAFE . It can cause irritation of the stomach and intestines, stomach pain, increased salivation, headache, weakness, unconsciousness, vision disorders, spasms, shock, and liver damage. 

 "
kratom,"Kratom is  POSSIBLY UNSAFE  for most people when taken by mouth.   

Kratom can cause many side effects when taken by mouth, including tongue numbness, nausea, vomiting, dry mouth, need to urinate, constipation, aggression, hallucinations, delusions, and thyroid problems. Kratom in large doses may cause trouble breathing, brain swelling, seizure, liver damage, and death.    

Kratom can cause dependence when taken regularly. People who use kratom regularly and then stop taking it may experience decreased appetite, diarrhea, muscle pain and spasms, twitches, watery eyes, anxiety, trouble sleeping, anger, hot flashes, and fever.   
 "
krebiozen,It isn’t known if Krebiozen is safe. Side effects might include pain and mild  jaundice .  
krill-oil,"Krill oil is  POSSIBLY SAFE  for most adults when used appropriately for a short amount of time (up to three months). The most common side effects of krill oil are stomach-related and similar to those of fish oil. These effects include stomach discomfort, decreased appetite, taste change, heartburn, fishy burps, bloating, gas, diarrhea, and nausea. Taking krill oil by mouth might also cause facial skin to become oilier or to break out. In very rare cases, krill oil might increase blood pressure.

 "
kudzu,"Kudzu is  POSSIBLY SAFE  for most people when taken by mouth appropriately for up to 4 months or when injected intravenously (by IV) for up to 20 days.   

When kudzu is taken by mouth, side effects might include skin itchiness, stomach upset, and dizziness. There is also a case report of allergic reaction following use of a combination herbal product containing kudzu (Kakkonto). Other reports suggest that taking kudzu root by mouth might cause liver damage.   

When given by IV, the kudzu ingredient, puerarin, has been associated with itching and nausea, as well as headache and fever. It has also caused red cells to break inside blood vessels. 



 "
labdanum,"Labdanum is  LIKELY SAFE  when taken by mouth in food amounts.  

Labdanum is  POSSIBLY SAFE  when applied to the skin, although some people might develop an allergic skin reaction. It is not known if taking labdanum by mouth in medicinal amounts is safe or what the possible side effects might be.


 "
labrador-tea,"Labrador tea is  POSSIBLY SAFE  for most people when used as a weak tea or in small amounts.    Labrador tea is  LIKELY UNSAFE  when used in concentrated solutions or in large amounts. If you take a large amount of Labrador tea, get medical help right away. Labrador tea can cause side effects such as  vomiting ,  inflammation  of the lining in the  stomach  and the  intestines  ( gastroenteritis ), diarrhea, delirium, spasms, paralysis, and death.  "
laburnum,"Laburnum is  UNSAFE . All parts, including the seeds and berries, are extremely poisonous. Eating as few as 20 seeds or 3-4 unripe berries can kill an adult. If you accidentally take laburnum, get medical attention right away.    Symptoms of laburnum poisoning include nausea;  dizziness ; salivation;  mouth , throat, and  stomach  pain;  sweating ;  headache ; vomiting; vomiting with  blood ; spasms; paralysis; decreased urine excretion; decreased breathing; and death.  "
lactase,"Lactase seems to be safe for most people. It is an FDA-approved, nonprescription product available in the US. There are no reported side effects.  "
lactobacillus,"Lactobacillus is  LIKELY SAFE  when taken by mouth appropriately. Side effects are usually mild and most often include intestinal gas or bloating.   

Lactobacillus is also  LIKELY SAFE  for women to use inside the vagina.

 "
lactoferrin,"Lactoferrin is safe in amounts consumed in food. Consuming higher amounts of lactoferrin from cow's milk might also be safe for up to a year. Human lactoferrin that is made from specially processed rice appears to be safe for up to 14 days. Lactoferrin can cause diarrhea. In very high doses,  skin rash , loss of appetite,  fatigue , chills, and  constipation  have been reported.  "
lady-fern,There isn’t enough information to know if lady fern is safe or what the potential side effects might be.  
ladys-bedstraw,It is not known if lady's bedstraw is safe or what the possible side effects might be.  
laminaria,"Laminaria is  LIKELY SAFE  when it is consumed in amounts found in food. In some people it can cause acne or worsen thyroid diseases.    
Laminaria is  POSSIBLY UNSAFE  when taken by mouth as a medicine. It contains iodine in amounts that are high enough to harm the thyroid, the gland that uses iodine to make hormones. The average laminaria-based supplement might contain as much as 1000 mcg of iodine. Taking in more than 150 mcg of iodine per day can cause a normal thyroid to become overactive or underactive, or make an overactive thyroid worse. Some laminaria products also contain significant amounts of arsenic, a chemical element that is poisonous.


 "
larch-arabinogalactan,Larch arabinogalactan is  LIKELY SAFE  when eaten in food amounts. It’s  POSSIBLY SAFE  when taken by mouth in appropriate amounts for less than 6 months. It can cause side effects such as bloating and intestinal gas (flatulence). Not enough is known about the safety of long-term use of larch arabinogalactan.     
larch-turpentine,"Larch turpentine seems safe when used on unbroken skin. It might be  UNSAFE  when taken by  mouth , applied to damaged or broken skin, or inhaled. When used improperly, larch turpentine can cause side effects such as allergic skin reactions,  kidney  problems, nerve system damage, or  lung  problems.  "
l-arginine,"L-arginine is  POSSIBLY SAFE  for most people when taken appropriately by mouth, administered as a shot, applied to the skin, used in a toothpaste, or inhaled, short-term. It can cause some side effects such as abdominal pain, bloating, diarrhea, gout, blood abnormalities, allergies, airway inflammation, worsening of asthma, and low blood pressure. 

 "
lathyrus,"Lathyrus is  LIKELY UNSAFE  when taken by  mouth . It is poisonous to nerves. It can cause muscle rigidity,  muscle spasms ,  weakness , paralysis of leg muscles, weak heartbeat, decreased breathing,  seizures , and death.    Lathyrus poisoning and its complications are rare in western countries, yet they have been documented for more than a century in Europe, Africa, and Asia. Despite the attempt to ban the sale of Lathyrus sativus in several states of India, distribution continues. To deactivate the poison, several methods have been tried. Typically they involve soaking the seeds in water followed by steaming or sun drying. Roasting the seeds at high temperatures for twenty minutes also helps to destroy the poison. However, these methods are only 80-85% effective.     "
laurelwood,There isn't enough information to know if laurelwood is safe.     
lauric-acid,Lauric acid is safe in amounts found in foods. But there isn’t enough information to know whether it is safer when used as a medicine.  
lavender,"Lavender is  LIKELY SAFE  for most adults in food amounts. It's  POSSIBLY SAFE  when taken by mouth, applied to the skin, or inhaled in medicinal amounts.   

When taken by mouth, lavender can cause constipation, headache, and increased appetite. When applied to the skin, lavender can sometimes cause irritation, although this is uncommon.   
 "
lavender-cotton,There isn't enough information available to know if lavender cotton is safe.  
l-carnitine,"L-carnitine is  LIKELY SAFE  when taken by mouth for up to 12 months, and when used as an injection, with the approval of a healthcare provider. It can cause side effects such as nausea, vomiting, stomach upset, heartburn, diarrhea, and seizures. It can also cause the urine, breath, and sweat to have a ""fishy"" odor. Avoid using D-carnitine and DL-carnitine. These forms of carnitine might block the effects of L-carnitine and cause symptoms that resemble L-carnitine deficiency.   
 "
l-citrulline,"L-citrulline is  POSSIBLY SAFE  when used orally and appropriately by adults. It is  POSSIBLY SAFE  when used orally and intravenously in children. Although side effects are rare, some people have reported stomach upset, heartburn, cough, changes in urination, and swelling when taking L-citrulline by mouth. 

 "
lecithin,"Lecithin is  LIKELY SAFE  for most people. It can cause some side effects including  diarrhea ,  nausea ,  abdominal pain , or fullness.  "
lemon,"Lemon is  LIKELY SAFE  in the amounts typically found in foods. The safety of lemon when used as medicine is unknown.   

Applying lemon to the skin may increase the chance of sunburn, especially in light-skinned people. 

"
lemon-balm,"Lemon balm is  LIKELY SAFE  when used in food amounts. It's  POSSIBLY SAFE  in adults when taken by mouth or applied to the skin in medicinal amounts, short-term. It's been used safely in research for up to 4 months. Not enough is known about the safety of lemon balm when used long-term.   

When taken by mouth, lemon balm can cause some side effects including increased appetite, nausea, vomiting, abdominal pain, dizziness, and wheezing.   

When applied to the skin, lemon balm may cause skin irritation and increased cold sore symptoms.   
 "
lemon-eucalyptus,Lemon eucalyptus oil is safe for most adults when applied to the skin as a mosquito repellent. Some people might have a skin reaction to the oil.    Lemon eucalyptus oil is  UNSAFE  to take by  mouth . Some chest rubs for congestion (Vicks VapoRub) contain lemon eucalyptus oil. These products can cause  seizures  and death if eaten.  
lemon-verbena,Lemon verbena is safe for most people when consumed in amounts found in  alcoholic  beverages. It also seems to be safe when taken in appropriate amounts as a medicine. It can cause skin irritation ( dermatitis ) in some people.  
lemongrass,"Lemongrass is  LIKELY SAFE  for most people when used in food amounts. It is  POSSIBLY SAFE  when taken by mouth, applied to the skin, or inhaled as aromatherapy short-term for medicinal purposes. Rarely, lemongrass oil might cause a rash of skin irritation when applied to the skin. However, there have been some toxic side effects, such as lung problems after inhaling lemongrass and a fatal poisoning after a child swallowed a lemongrass oil-based insect repellent.   
 "
lentinan,"There isn't enough information available to know if lentinan is safe. It might cause stomach and intestinal  cramps ,  rash ,  muscle pain , and tiredness; and it can slow  blood  clotting.  "
lesser-celandine,"Eating small amounts of fresh leaf sheaths of lesser celandine is  POSSIBLY SAFE .     

However, lesser celandine is  POSSIBLY UNSAFE  when  fresh parts of the plant are used on skin. Putting lesser celandine on the skin can cause mucous membrane and skin irritation. The fresh, bruised plant can cause blisters if it is in contact with the skin long enough.   

Lesser celandine is  LIKELY UNSAFE  when fresh plant parts besides the leaf sheaths are taken by mouth. Taking it by mouth can cause side effects such as severe irritation of the stomach and intestines, diarrhea, and irritation of the urinary tract. Liver damage has also been reported.   

It is not known if taking dried lesser celandine or lesser celandine extract is safe. 


 "
levant-berry,"Levant berry is  UNSAFE  to take by  mouth . The picrotoxin it contains can cause death, even in small amounts. Accidentally taking levant berry requires immediate medical attention. Levant berry cause side effects such as  headache , dizziness,  nausea , coordination problems,  depression , spasms,  twitching , increased  saliva ,  vomiting , increased emptying of the bowels, rapid breathing, drowsiness,  irregular heartbeat , decreased  heart  rate, unconsciousness, and death.    Levant berry may also be  UNSAFE  when put on the skin.  "
licorice,"Licorice is  LIKELY SAFE  for most people when taken by mouth in amounts found in foods. Licorice is  POSSIBLY SAFE  when taken by mouth in larger amounts for medicinal purposes and when applied to the skin for a short amount of time. However, it is  POSSIBLY UNSAFE  when taken by mouth in large amounts for more than 4 weeks or in smaller amounts long-term. Consuming licorice daily for several weeks or longer can cause severe side effects including high blood pressure, low potassium levels, weakness, paralysis, and occasionally brain damage in otherwise healthy people. In people who eat a lot of salt or have heart disease, kidney disease, or high blood pressure, as little as 5 grams per day can cause these problems.   

Other side effects of licorice use include tiredness, absence of a menstrual period in women, headache, water and sodium retention, and decreased sexual interest and function in men.   

People who chew tobacco flavored with licorice might develop high blood pressure and other serious side effects.   
 "
lily-of-the-valley,"Lily-of-the-valley might be safe for most people when used under proper medical supervision. But, it is  UNSAFE  when used for self- medication . Since lily-of-the-valley can affect the heart and other systems, the dose must be carefully chosen and side effects checked by a  healthcare  professional. If you swallow lily-of-the-valley accidentally, get medical treatment right away. Lily-of-the-valley can cause side effects such as  nausea ,  vomiting , abnormal heart rhythm, headache, decreased consciousness and responsiveness, and visual color disturbances.  "
lime,"Lime is  LIKELY SAFE  for most adults when used in amounts found in foods.    Lime peel is  POSSIBLY SAFE  when taken by  mouth  in medicinal amounts.    Applying lime oil directly to the skin is  POSSIBLY UNSAFE . Some people are sensitive to lime oil when it is applied directly to the skin. Lime oil can cause the skin to be very sensitive to the sunlight. Wear sunblock and protective clothing outside, especially if you are light-skinned.     "
limonene,Limonene is safe in food amounts. It also appears to be safe for most people in medicinal amounts when taken by  mouth  for up to one year.  
linden,"Linden is  LIKELY SAFE  for most people when the leaf is used in food amounts. It is not clear if linden is safe when used in medicinal amounts.   

Linden might cause allergies in some people when taken by mouth or applied to the skin. Frequent use of linden tea has been linked with heart damage, but this seems to be rare.    
 "
